name,title,room_code,start_time,talk_length,question_length,chair
Ming-Song Chen,Dynamic recrystallization behaviors of typical solution-treated and aged Ni-based superalloy under stepped strain rates,ictp-rpi-4,01/09/2017:1500,20,3,Shivpuri
Xiao-Min Chen,Evolution of annealing twins in a hot deformed nickel-based superalloy,ictp-rpi-4,01/09/2017:1540,20,3,Shivpuri
Y.C. Lin,Microstructure prediction of a nickel-based superalloy during multi-pass hot deformation,ictp-rpi-4,01/09/2017:1600,20,3,Shivpuri
Ton van den Boogaard,Modelling of anelastic deformation in dual-phase steel for improved springback simulation,ictp-rpi-5,31/08/2017:1220,20,3,F Yoshida
Yongchao Xu,Wrinkling control of aluminum alloy thinner curved sheet parts using double-layer sheets hydroforming,ictp-rpi-8,31/08/2017:1440,20,3,Qin
Jun Jiang,An integrated method for net-shape manufacturing components combining additive manufacturing and compressive forming processes,ictp-rpi-4,01/09/2017:1020,20,3,Beygelzimer
Christian Palm,Increasing performance of hot stamping systems,ictp-rpi-6,31/08/2017:1140,20,3,Oldenburg
Taiki Maeda,Experimental Verification of the Tension-Compression Asymmetry of the Flow Stresses of a High Strength Steel Sheet,ictp-rpi-8,01/09/2017:1200,20,3,Karodogan
NULL,Mirostructure and properties of laser welded joints of dual phase and press-hardened steels,ictp-rpi-2,30/08/2017:1140,20,3,Bay
Jian Lan,The residual stress of the cold rolled bearing race,ictp-rpi-8,29/08/2017:1720,20,3,Hirt
Gang Liu,Approach to Enhance Gas Bulging Formability of TA15 Titanium Alloy Tube Based on Dynamic Recrystallization,ictp-rpi-8,31/08/2017:1420,20,3,Qin
Liwen Zhang,Numerical simulation of different types of voids closure in large continuous casting billet during multi-pass stretching process,ictp-rpi-5,01/09/2017:1220,20,3,C-G Kang
Jie Zhao,Experimental and simulated analysis of texture evolution of TA15 titanium alloy sheet during hot tensile deformation at 750°C,ictp-rpi-4,29/08/2017:1740,20,3,Bruschi
Entao Dong,Alpha-case kinetics and high temperature plasticity of Ti-6Al-4V alloy oxidized in different phase regions,ictp-rpi-4,29/08/2017:1600,20,3,Bruschi
Hubert Geijselaers,Dry friction during sliding of AA1050 on AA2024 at elevated temperature,ictp-rpi-2,30/08/2017:1200,20,3,Bay
Mario Thome,Calculation Tool and Closed Loop Control for the JCO® Pipe Forming Process,ictp-rpi-7,31/08/2017:1600,20,3,Takahashi
Jan Palán,The microstructure and mechanical properties evaluation of UFG Titanium Grade 4 in relation to the technological aspects of the CONFORM SPD process,ictp-rpi-1,30/08/2017:1620,20,3,Ishikawa
Chan Chin Wang,Determination of optimal shrink fitting ratio for 2-layer compound forging die by improving fatigue life in backward extrusion,ictp-rpi-3,30/08/2017:1640,20,3,Dean
Wolfgang Förster,Enhancing the applicability of Al-Mg compounds by using forming and welding technologies,ictp-rpi-2,30/08/2017:1120,20,3,Bay
Youngseon Lee,Characteristics of 8T-bolt manufactured by the Yield-Ratio-Control-Steel for Cold Former,ictp-rpi-5,01/09/2017:1000,20,3,C-G Kang
Damien MAUDUIT,Industrial applications of the superplastic forming by using Infra-Red heater,ictp-rpi-3,30/08/2017:1220,20,3,Bressan
Wojciech Presz,Application of semi-physical modeling of interface surface roughness in design of pre-stressed microforming dies,ictp-rpi-1,29/08/2017:1320,20,3,Otsu
Jun Liu,Hot stamping of AA6082 tailor welded blanks for automotive applications,ictp-rpi-5,30/08/2017:1620,20,3,Mori
Pierre-Olivier Bouchard,Analysis and modeling of the failure behavior of carbonitrided parts,ictp-rpi-1,30/08/2017:1200,20,3,Martins
Oana Cazacu,New analytic criterion for FCC single crystals,ictp-rpi-4,01/09/2017:1400,20,3,Shivpuri
Nitin Chandola,Prediction of anisotropy of textured sheets based on a new polycrystal model,ictp-rpi-6,31/08/2017:1700,20,3,Madej
,,ictp-rpi-5,31/08/2017:1520,20,3,F Yoshida
,,ictp-rpi-5,01/09/2017:0940,20,3,J-X Xie
,,ictp-rpi-5,30/08/2017:1400,20,3,Allwood
,,ictp-rpi-5,31/08/2017:1400,20,3,Allwood
,,ictp-rpi-5,01/09/2017:1400,20,3,Allwood
,,ictp-rpi-10,29/08/2017:1440,20,3,Serrenho
,,ictp-rpi-10,30/08/2017:1500,20,3,Serrenho
,,ictp-rpi-10,31/08/2017:1520,20,3,Serrenho
,Poster Session,ictp-rpi-10,29/08/2017:1440,39,0,
,Poster Session,ictp-rpi-10,30/08/2017:1500,39,0,
,Poster Session,ictp-rpi-10,31/08/2017:1520,39,0,
,Industry Workshop: Future car bodies,ictp-rpi-5,30/08/2017:1400,59,0,Professor Julian Allwood
,Industry Workshop: Non-ferrous rolling,ictp-rpi-5,31/08/2017:1400,59,0,Professor Julian Allwood
,Industry Workshop: Sustainability and metal forming,ictp-rpi-5,01/09/2017:1400,59,0,Professor Julian Allwood
,Plenary Lecture,ictp-rpi-5,31/08/2017:0830,75,0,Professor Ken-Ichiro Mori
,Plenary Lecture,ictp-rpi-6,31/08/2017:0830,75,0,Professor Ken-Ichiro Mori
,Plenary Lecture,ictp-rpi-5,01/09/2017:0830,75,0,Professor Erman Tekkaya
,Plenary Lecture,ictp-rpi-6,01/09/2017:0830,75,0,Professor Erman Tekkaya
